"""1""",2021/5/4 12:00,0.982713009,3,0.272750304,0.572960241,0.845710545,0.740385341
"""2""",2021/5/4 13:00,0.967780229,1,0.119130968,0.539748617,0.658879586,0.374528635
"""3""",2021/5/4 14:00,0.961514889,4,0.451739934,0.117654019,0.569393953,0.916724097
"""4""",2021/5/4 15:00,0.979143062,1,0.316612196,0.434628168,0.751240364,0.575221327
"""5""",2021/5/4 16:00,0.967716455,4,0.500046766,0.024202366,0.524249133,0.273822675
"""6""",2021/5/4 17:00,0.973985034,3,0.566300632,0.032304137,0.59860477,0.648383039
"""7""",2021/5/4 18:00,0.96405377,0,0.103480101,0.647939139,0.751419239,0.964896624
"""8""",2021/5/4 19:00,0.986921291,2,0.538790924,0.453299131,0.992090056,0.811821353
"""9""",2021/5/4 20:00,0.962445955,0,0.126792412,0.457548549,0.584340961,0.508808739
"""10""",2021/5/4 21:00,0.961488483,1,0.490523873,0.339439464,0.829963337,0.679889829
"""11""",2021/5/4 22:00,0.975829593,3,0.01381429,0.013155296,0.026969586,0.636572483
"""12""",2021/5/4 23:00,0.960454927,0,0.060535754,0.573282572,0.633818325,0.458307712
"""13""",2021/5/5 0:00,0.963345966,2,0.29720493,0.248329357,0.545534286,0.343673114
"""14""",2021/5/5 1:00,0.975643891,1,0.389786551,0.498873839,0.88866039,0.675636229
"""15""",2021/5/5 2:00,0.974642977,1,0.41294755,0.279995113,0.692942663,0.889269527
"""16""",2021/5/5 3:00,0.965388766,3,0.471315385,0.246516154,0.717831539,0.273358962
"""17""",2021/5/5 4:00,0.983901953,4,0.211563066,0.535688349,0.747251415,0.81281178
"""18""",2021/5/5 5:00,0.981950768,3,0.342264967,0.109193493,0.451458459,0.709412753
"""19""",2021/5/5 6:00,0.960145027,2,0.168576322,0.024202522,0.192778844,0.551996917
"""20""",2021/5/5 7:00,0.979581432,3,0.062162082,0.636282741,0.698444823,0.86150224
"""21""",2021/5/5 8:00,0.975012072,3,0.504772413,0.083225476,0.587997889,0.870601149
