No,Date,handover_success_rate,DRB.RlcDelayUI,DRB.AirIfDelayUI,DRB.RlcSduDelayDl,DRB.AirIfDelayDl,Delay
1,2021/5/4 12:00,0.982713009,0.272750304,0.572960241,0.632537225,0.107848116,1.586095886
2,2021/5/4 13:00,0.967780229,0.119130968,0.539748617,0.167884132,0.206644503,1.033408221
3,2021/5/4 14:00,0.961514889,0.451739934,0.117654019,0.369393589,0.547330507,1.486118050
4,2021/5/4 15:00,0.979143062,0.316612196,0.434628168,0.304070102,0.271151225,1.326461691
5,2021/5/4 16:00,0.967716455,0.500046766,0.024202366,0.091252423,0.182570252,0.798071808
6,2021/5/4 17:00,0.973985034,0.566300632,0.032304137,0.387736763,0.260646276,1.246987809
7,2021/5/4 18:00,0.96405377,0.103480101,0.647939139,0.563058112,0.401838513,1.716315863
8,2021/5/4 19:00,0.986921291,0.538790924,0.453299131,0.196990854,0.614830498,1.803911409
9,2021/5/4 20:00,0.962445955,0.126792412,0.457548549,0.346857748,0.161950991,1.093149700
10,2021/5/4 21:00,0.961488483,0.490523873,0.339439464,0.39788181,0.282008019,1.509853166
11,2021/5/4 22:00,0.975829593,0.01381429,0.013155296,0.543729229,0.092843254,0.663542069
12,2021/5/4 23:00,0.960454927,0.060535754,0.573282572,0.166428467,0.291879245,1.092126037
13,2021/5/5 0:00,0.963345966,0.29720493,0.248329357,0.091685644,0.25198747,0.889207400
14,2021/5/5 1:00,0.975643891,0.389786551,0.498873839,0.356349212,0.319287017,1.564296619
15,2021/5/5 2:00,0.974642977,0.41294755,0.279995113,0.597423661,0.291845866,1.582212190
16,2021/5/5 3:00,0.965388766,0.471315385,0.246516154,0.088237353,0.18512161,0.991190501
17,2021/5/5 4:00,0.983901953,0.211563066,0.535688349,0.542393773,0.270418008,1.560063195
18,2021/5/5 5:00,0.981950768,0.342264967,0.109193493,0.528477053,0.180935699,1.160871212
19,2021/5/5 6:00,0.960145027,0.168576322,0.024202522,0.4134536,0.138543317,0.744775761
20,2021/5/5 7:00,0.979581432,0.062162082,0.636282741,0.593047418,0.268454822,1.559947063
21,2021/5/5 8:00,0.975012072,0.504772413,0.083225476,0.348955183,0.521645967,1.458599038
22,2021/5/5 9:00,0.978885799,0.377924595,0.478819645,0.272238954,0.154571548,1.283554743
23,2021/5/5 10:00,0.971391099,0.371986423,0.475228371,0.597485466,0.04276614,1.487466399
24,2021/5/5 11:00,0.969970685,0.315936571,0.609628682,0.147538236,0.062647438,1.135750927
25,2021/5/5 12:00,0.976443194,0.526603114,0.459435171,0.15498596,0.582817939,1.723842183
26,2021/5/5 13:00,0.983845136,0.526886492,0.074482568,0.246721925,0.548562254,1.39665324
27,2021/5/5 14:00,0.984207972,0.156050801,0.446968381,0.179082035,0.498545338,1.280646555
28,2021/5/5 15:00,0.967879802,0.665825015,0.003181135,0.427714885,0.499364891,1.596085926
29,2021/5/5 16:00,0.9788025,0.16951326,0.160338552,0.523810986,0.146410545,1.000073343
30,2021/5/5 17:00,0.986893643,0.135802612,0.181776037,0.382936625,0.351359969,1.051875243
31,2021/5/5 18:00,0.96263312,0.356231599,0.526721111,0.575291998,0.213249665,1.671494372
32,2021/5/5 19:00,0.9827239,0.209524193,0.38066815,0.016473301,0.639343033,1.246008677
33,2021/5/5 20:00,0.961894376,0.23272385,0.193216757,0.543859873,0.153143881,1.122944360
34,2021/5/5 21:00,0.964306982,0.447290628,0.210362035,0.457713218,0.384920632,1.500286514
35,2021/5/5 22:00,0.96404759,0.485584793,0.334707028,0.204750562,0.307395818,1.332438200
36,2021/5/5 23:00,0.985729416,0.388030437,0.095336934,0.301601119,0.580425908,1.365394398
37,2021/5/6 0:00,0.987095556,0.567976345,0.030259617,0.272312055,0.660779469,1.531327486
38,2021/5/6 1:00,0.974588985,0.0521589,0.481681486,0.294953382,0.51228475,1.341078517
39,2021/5/6 2:00,0.964863245,0.383941084,0.294501936,0.421037305,0.395161589,1.494641914
40,2021/5/6 3:00,0.981703338,0.310445322,0.430964729,0.152353625,0.634195476,1.527959151
41,2021/5/6 4:00,0.976300699,0.666486432,0.320691927,0.607345197,0.103704083,1.698227639
42,2021/5/6 5:00,0.973283607,0.44101972,0.143871652,0.458082958,0.191910107,1.234884437
43,2021/5/6 6:00,0.973090193,0.369984358,0.372547802,0.068661801,0.257917047,1.069111008
44,2021/5/6 7:00,0.981366586,0.004406023,0.085171122,0.613668977,0.146425244,0.849671366
45,2021/5/6 8:00,0.974394352,0.592325514,0.163426378,0.39073645,0.116860587,1.263348929
46,2021/5/6 9:00,0.984516716,0.217014522,0.185815318,0.053896268,0.442529686,0.899255794
47,2021/5/6 10:00,0.985021226,0.60756508,0.021604143,0.374256008,0.625652243,1.629077474
48,2021/5/6 11:00,0.964023383,0.074634404,0.257559587,0.455700058,0.383237933,1.171131983
49,2021/5/6 12:00,0.987753566,0.170093414,0.641581809,0.110042177,0.633339258,1.555056657
50,2021/5/6 13:00,0.979929341,0.101999423,0.616688035,0.237112142,0.0864934,1.042293000
51,2021/5/6 14:00,0.980307994,0.263650151,0.43942534,0.175710968,0.451073757,1.329860216
52,2021/5/6 15:00,0.988124545,0.087351403,0.37900488,0.454785311,2.28E-05,0.921164358
53,2021/5/6 16:00,0.98691056,0.633554545,0.129452424,0.208855933,0.468727978,1.440590880
54,2021/5/6 17:00,0.966843862,0.516741115,0.297633739,0.055902352,0.653638451,1.523915658
55,2021/5/6 18:00,0.961123796,0.526702942,0.355705883,0.640871522,0.350072351,1.873352699
56,2021/5/6 19:00,0.973342944,0.214822422,0.140054769,0.28231396,0.233224358,0.870415509
57,2021/5/6 20:00,0.966530245,0.06118216,0.548083108,0.456029511,0.321873196,1.387167976
58,2021/5/6 21:00,0.971344828,0.196808944,0.527800791,0.460842749,0.400005699,1.585458182
59,2021/5/6 22:00,0.9610957,0.519583694,0.339048773,0.245095892,0.048064644,1.151793002
60,2021/5/6 23:00,0.989880064,0.167326823,0.181207133,0.181019589,0.008511915,0.538065460
61,2021/5/7 0:00,0.964677876,0.436099457,0.092355387,0.331189688,0.582610582,1.442255114
62,2021/5/7 1:00,0.967568379,0.566833873,0.379116977,0.142377575,0.316870659,1.405199083
63,2021/5/7 2:00,0.965530346,0.148963146,0.146861695,0.244121153,0.339919835,0.879865829
64,2021/5/7 3:00,0.986417004,0.654177824,0.254442491,0.071518379,0.365966422,1.346105116
65,2021/5/7 4:00,0.984103895,0.249487031,0.307884166,0.180179253,0.502518409,1.240068859
66,2021/5/7 5:00,0.972887837,0.604655393,0.195435505,0.328494856,0.612435082,1.741020836
67,2021/5/7 6:00,0.97767753,0.375331877,0.431910827,0.632953811,0.225144114,1.665340629
68,2021/5/7 7:00,0.982017904,0.277613014,0.338049988,0.05883084,0.112563892,0.787057735
69,2021/5/7 8:00,0.96430784,0.612211389,0.353855316,0.305830386,0.189508179,1.461405270
70,2021/5/7 9:00,0.978776224,0.25239832,0.566464823,0.094293181,0.512768334,1.425924659
71,2021/5/7 10:00,0.968708865,0.230123253,0.004495044,0.316348769,0.338594668,0.889561734
72,2021/5/7 11:00,0.976157672,0.579168023,0.007409666,0.478312089,0.496997988,1.561887765
73,2021/5/7 12:00,0.967536142,0.226310988,0.523613624,0.51971497,0.25488935,1.524528932
74,2021/5/7 13:00,0.983140569,0.017479769,0.633641253,0.184077759,0.163081683,0.998280464
75,2021/5/7 14:00,0.97881704,0.296073273,0.141574225,0.426093424,0.144421657,1.008162579
76,2021/5/7 15:00,0.981456287,0.141851737,0.133280643,0.579170342,0.400305224,1.254607946
77,2021/5/7 16:00,0.987871473,0.376571232,0.416792116,0.311336375,0.56457653,1.669276253
78,2021/5/7 17:00,0.985678061,0.612232535,0.298352392,0.417717537,0.044651606,1.372954070
79,2021/5/7 18:00,0.980836214,0.364774879,0.135303643,0.594915421,0.289754961,1.384748904
80,2021/5/7 19:00,0.977843267,0.430983684,0.206053392,0.191258923,0.64993455,1.478230550
81,2021/5/7 20:00,0.966077515,0.064056501,0.423979044,0.242930164,0.327786488,1.058752197
82,2021/5/7 21:00,0.974266932,0.212130699,0.475952626,0.500530697,0.307349333,1.495963355
83,2021/5/7 22:00,0.96482477,0.332849933,0.526846702,0.36990726,0.025841662,1.255445557
84,2021/5/7 23:00,0.962654667,0.507281408,0.309207138,0.447851887,0.183009677,1.447350110
85,2021/5/8 0:00,0.964486845,0.075499259,0.575708283,0.616309135,0.049274452,1.316791129
86,2021/5/8 1:00,0.965503849,0.198771797,0.022814836,0.512933859,0.432038708,1.166559200
87,2021/5/8 2:00,0.960558585,0.219966285,0.660207958,0.527166444,0.107950897,1.515291583
88,2021/5/8 3:00,0.981113587,0.259423388,0.469049594,0.097650929,0.54964088,1.375764791
89,2021/5/8 4:00,0.968850464,0.020193938,0.310645156,0.5011695,0.040762682,0.872771275
90,2021/5/8 5:00,0.967717734,0.100097921,0.012936523,0.44135696,0.087690552,0.642081956
91,2021/5/8 6:00,0.982992419,0.098428573,0.09758208,0.484891602,0.33815435,1.019056606
92,2021/5/8 7:00,0.962360878,0.553829496,0.071153128,0.205233169,0.191606287,1.021822080
93,2021/5/8 8:00,0.984998667,0.490320647,0.229384994,0.367134659,0.462508818,1.549349116
